model,frequency_Hz,Omega,inertial_to_elastic,D_viscous_to_elastic,w_amplitude_um,dynamic_compliance_uL_per_mmHg,phase_lag_deg,hysteresis_J_per_cycle,wall_loss_fraction,radiation_loss_fraction,nonlinearity_index,THD,third_to_fundamental,linear_exact_amplitude_um,linear_exact_phase_deg
nonlinear,1.66810053720006,0.000425441790427861,1.81000717042464e-07,0.0696923315432847,19.7013268668754,0.19805934000303,-3.77371091768191,2.18387057023381e-06,0.997300384574371,0.00269961542562863,0.242588925197166,0.0177874723247992,0.0177643976804496,NaN,NaN
nonlinear,1.89573565240638,0.000483499136983354,2.33771415463648e-07,0.0792028026246508,19.6899670497845,0.19794513866569,-4.28696408027341,2.47894905163314e-06,0.997300384574371,0.00269961542562863,0.242309251513499,0.0176798459968857,0.0176575376771672,NaN,NaN
nonlinear,2.15443469003188,0.000549479201910437,3.0192739333213e-07,0.0900111074588356,19.6753286727463,0.197797977648846,-4.86946257657308,2.8129823260791e-06,0.997300384574371,0.00269961542562862,0.24194909898787,0.0175432438651633,0.0175218645352059,NaN,NaN
nonlinear,2.44843674682223,0.000624463148405837,3.8995422371693e-07,0.102294353198108,19.6564773909799,0.197608463894261,-5.53029234636236,3.19055431366487e-06,0.997300384574371,0.00269961542562863,0.241485689638816,0.0173706646912017,0.0173503940921743,NaN,NaN
nonlinear,2.78255940220712,0.00070967967916007,5.0364524701274e-07,0.116253815686078,19.6322200254527,0.197364602257986,-6.27961587520622,3.61670931779715e-06,0.997300384574371,0.00269961542562863,0.240890039454866,0.0171538781859496,0.0171349062636865,NaN,NaN
nonlinear,3.16227766016838,0.000806525170137698,6.50482850065643e-07,0.13211823760593,19.6010373958283,0.197051120273514,-7.12874767376502,4.09692613159153e-06,0.997300384574371,0.00269961542562862,0.240125416870413,0.0168834688813386,0.0168659848001311,NaN,NaN
nonlinear,3.59381366380463,0.000916586551887059,8.40130907100208e-07,0.150147576706056,19.5610024339261,0.196648644938477,-8.09021018543856,4.63648795150245e-06,0.997300384574371,0.00269961542562863,0.239145510137539,0.0165490481321021,0.016533225222311,NaN,NaN
nonlinear,4.08423865267452,0.00104166731331742,1.08507079163392e-06,0.170637265522296,19.5096819862118,0.19613271552562,-9.17775533824488,5.24100754376938e-06,0.997300384574371,0.00269961542562863,0.237892307001948,0.0161397039575551,0.0161256819378251,NaN,NaN
nonlinear,4.64158883361278,0.00118381705404688,1.40142281745223e-06,0.193923052397503,19.444021717938,0.195472626513006,-10.4063308897323,5.91530001671061e-06,0.997300384574371,0.00269961542562863,0.236293737854779,0.015644757172976,0.0156326241384087,NaN,NaN
nonlinear,5.27499706370262,0.00134536506957206,1.81000717042464e-06,0.220386503124377,19.3602155537275,0.194630115057617,-11.7919613866896,6.6636568521919e-06,0.997300384574371,0.00269961542562863,0.234261216429246,0.0150548528500972,0.0150446307061824,NaN,NaN
nonlinear,5.99484250318941,0.00152895851959315,2.33771415463648e-06,0.250461253362659,19.2535650296033,0.193557947047728,-13.3515022280754,7.48842639648189e-06,0.997300384574371,0.00269961542562862,0.231687353968226,0.0143633489720414,0.0143549859343612,NaN,NaN
nonlinear,6.81292069057961,0.00173760580492852,3.0192739333213e-06,0.284640114284091,19.1183403078623,0.192198519872032,-15.102210330297,8.38951917479311e-06,0.997300384574371,0.00269961542562863,0.228444335079521,0.0135678492169241,0.013561221864621,NaN,NaN
nonlinear,7.74263682681127,0.00197472586380219,3.8995422371693e-06,0.32348314787975,18.947666036691,0.190482714955332,-17.0610596408033,9.36292539745823e-06,0.997300384574371,0.00269961542562863,0.224383780148734,0.0126716123527251,0.0126665374090304,NaN,NaN
nonlinear,8.79922543569107,0.00224420419528335,5.0364524701274e-06,0.367626844253416,18.7334705849509,0.188329387410951,-19.2437175160346,1.03991115218171e-05,0.997300384574371,0.00269961542562863,0.219339325098263,0.011684495472246,0.0116807490195859,NaN,NaN
nonlinear,10,0.00255045652788994,6.50482850065643e-06,0.417794551282051,18.4665588003545,0.185646097485688,-21.6631001389412,1.14814408554623e-05,0.997300384574371,0.00269961542562863,0.213133621204343,0.0106231297966244,0.0106204699277181,NaN,NaN
nonlinear,11.3646366638572,0.00289850117664321,8.40130907100207e-06,0.474808327545978,18.1368904214878,0.182331909462749,-24.327456570399,1.25839796486283e-05,0.997300384574371,0.00269961542562863,0.205591746350659,0.0095101947612855,0.00950838333128532,NaN,NaN
nonlinear,12.9154966501488,0.00329404127423128,1.08507079163392e-05,0.539602412753377,17.7341600883532,0.178283222563698,-27.2380128182831,1.36706641640974e-05,0.997300384574371,0.00269961542562862,0.196562771274587,0.00837289202958293,0.00837171210385618,NaN,NaN
nonlinear,14.6779926762207,0.00374355822373879,1.40142281745223e-05,0.613238536388286,17.2487621419196,0.173403470171432,-30.3863577721072,1.46950368482701e-05,0.997300384574371,0.00269961542562863,0.185949872142825,0.00724090306556027,0.00724017025820717,NaN,NaN
nonlinear,16.6810053720006,0.00425441790427861,1.81000717042464e-05,0.696923315432847,16.6731599370927,0.167616885665594,-33.7519723188143,1.56023066254611e-05,0.997300384574371,0.00269961542562863,0.17374641392992,0.00614414897352504,0.00614371646640673,NaN,NaN
